"","latin","common","n"
"1","Orthotomus ruficeps","Ashy Tailorbird",83
"2","Prinia familiaris","Bar-winged Prinia",67
"3","Parus minor","Japanese Tit",34
"4","Pycnonotus sp.","Bulbul",19
"5","Rhipidura javanica","Sunda Pied Fantail",16
"6","Orthotomus sericeus","Rufous-tailed Tailorbird",11
"7","Halcyon smyrnensis","White-breasted Kingfisher",3
"8","Spilopelia chinensis","Spotted Dove",3
"9","Centropus sinensis","Greater Coucal",2
"10","Copsychus saularis","Oriental Magpie-Robin",1
